RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,2,J.B. Holmes,77,314.5,"46,541",148,2016,avg_driv_dist
2,1,Dustin Johnson,87,313.6,"48,921",156,2016,avg_driv_dist
3,3,Tony Finau,95,312.2,"56,820",182,2016,avg_driv_dist
4,4,Bubba Watson,72,310.6,"40,382",130,2016,avg_driv_dist
5,5,Andrew Loupe,75,309.3,"46,084",149,2016,avg_driv_dist
6,6,Jason Kokrak,89,307.4,"54,711",178,2016,avg_driv_dist
T7,T7,Luke List,79,306.9,"47,257",154,2016,avg_driv_dist
T7,T7,Hudson Swafford,104,306.9,"61,380",200,2016,avg_driv_dist
9,10,Rory McIlroy,69,306.8,"35,585",116,2016,avg_driv_dist
10,9,Gary Woodland,95,306.1,"50,811",166,2016,avg_driv_dist
11,11,Jamie Lovemark,91,304.8,"55,160",181,2016,avg_driv_dist
12,T12,Ryan Palmer,86,304.7,"52,410",172,2016,avg_driv_dist
13,14,Adam Scott,79,304.6,"41,422",136,2016,avg_driv_dist
14,T12,Jhonattan Vegas,97,304.4,"56,616",186,2016,avg_driv_dist
15,16,Jason Day,76,304.2,"41,973",138,2016,avg_driv_dist
16,15,Justin Rose,65,303.9,"37,687",124,2016,avg_driv_dist
17,17,Charles Howell III,91,303.4,"52,788",174,2016,avg_driv_dist
18,18,Robert Garrigus,69,303.3,"39,128",129,2016,avg_driv_dist
19,19,Brooks Koepka,75,302.6,"42,359",140,2016,avg_driv_dist
T20,22,Sean O'Hair,89,302.2,"53,787",178,2016,avg_driv_dist
T20,20,Brendan Steele,88,302.2,"48,355",160,2016,avg_driv_dist
22,21,Harold Varner III,92,302,"54,967",182,2016,avg_driv_dist
23,23,Rickie Fowler,80,301.6,"44,029",146,2016,avg_driv_dist
T24,25,Jimmy Walker,85,301.3,"49,410",164,2016,avg_driv_dist
T24,24,Justin Thomas,99,301.3,"53,034",176,2016,avg_driv_dist
26,26,Patrick Rodgers,89,300.5,"51,088",170,2016,avg_driv_dist
27,27,Keegan Bradley,82,300,"46,794",156,2016,avg_driv_dist
28,28,Sergio Garcia,54,299.9,"25,792",86,2016,avg_driv_dist
29,29,Harris English,97,299.2,"52,951",177,2016,avg_driv_dist
30,30,Smylie Kaufman,91,299,"52,632",176,2016,avg_driv_dist
31,31,Carlos Ortiz,79,298.9,"42,439",142,2016,avg_driv_dist
32,32,Shane Lowry,57,298.7,"29,869",100,2016,avg_driv_dist
33,33,Martin Laird,82,298.5,"46,569",156,2016,avg_driv_dist
34,T35,Daniel Berger,92,298.4,"48,337",162,2016,avg_driv_dist
35,34,Lucas Glover,75,298.3,"44,751",150,2016,avg_driv_dist
36,T35,Charley Hoffman,91,298.2,"52,477",176,2016,avg_driv_dist
T37,T37,Scott Piercy,87,297.9,"44,680",150,2016,avg_driv_dist
T37,T37,Graham DeLaet,70,297.9,"38,728",130,2016,avg_driv_dist
39,39,Greg Owen,85,297.7,"45,851",154,2016,avg_driv_dist
40,40,Rhein Gibson,58,297.5,"32,126",108,2016,avg_driv_dist
41,41,Patrick Reed,105,297.4,"55,324",186,2016,avg_driv_dist
42,42,Stewart Cink,61,296.9,"33,842",114,2016,avg_driv_dist
43,43,Scott Pinckney,87,296.8,"48,085",162,2016,avg_driv_dist
44,46,Charl Schwartzel,73,296.7,"39,161",132,2016,avg_driv_dist
45,44,Chesson Hadley,81,296.5,"44,174",149,2016,avg_driv_dist
46,48,Kevin Chappell,93,296.3,"52,737",178,2016,avg_driv_dist
47,45,Nick Taylor,83,296.2,"44,429",150,2016,avg_driv_dist
T48,T49,Branden Grace,63,295.6,"30,742",104,2016,avg_driv_dist
T48,T49,Russell Henley,76,295.6,"44,929",152,2016,avg_driv_dist
50,51,Scott Stallings,74,295.5,"41,368",140,2016,avg_driv_dist
51,54,Jordan Spieth,80,295.4,"42,543",144,2016,avg_driv_dist
T52,T52,Brett Stegmaier,87,295.3,"49,902",169,2016,avg_driv_dist
T52,T52,Seung-Yul Noh,85,295.3,"47,834",162,2016,avg_driv_dist
54,T64,Paul Casey,77,295.2,"38,966",132,2016,avg_driv_dist
55,55,Marc Leishman,89,295,"46,020",156,2016,avg_driv_dist
T56,T56,Hunter Mahan,61,294.8,"33,612",114,2016,avg_driv_dist
T56,T56,Matt Jones,83,294.8,"42,153",143,2016,avg_driv_dist
T56,T66,Phil Mickelson,75,294.8,"42,456",144,2016,avg_driv_dist
T59,T58,Andres Gonzales,80,294.7,"45,980",156,2016,avg_driv_dist
T59,T58,Andrew Landry,53,294.7,"28,876",98,2016,avg_driv_dist
