RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
31,30,Jason Bohn,88,0.679,0.16,0.754,-0.236,82,2009,sg_tee_to_green
32,33,Greg Owen,97,0.676,0.452,0.295,-0.071,82,2009,sg_tee_to_green
33,31,Briny Baird,89,0.666,-0.012,0.515,0.163,72,2009,sg_tee_to_green
34,34,Jason Dufner,90,0.652,0.323,0.313,0.016,78,2009,sg_tee_to_green
35,36,D.J. Trahan,96,0.643,0.506,0.369,-0.232,80,2009,sg_tee_to_green
36,35,Charles Howell III,99,0.631,0.13,0.141,0.36,83,2009,sg_tee_to_green
37,37,Lucas Glover,93,0.619,0.638,0.138,-0.157,79,2009,sg_tee_to_green
38,38,Chad Campbell,90,0.572,-0.057,0.635,-0.006,71,2009,sg_tee_to_green
39,39,Geoff Ogilvy,78,0.568,0.258,-0.02,0.329,58,2009,sg_tee_to_green
40,41,Rod Pampling,72,0.557,0.183,0.023,0.35,64,2009,sg_tee_to_green
41,43,Alex Cejka,82,0.555,-0.006,0.372,0.188,71,2009,sg_tee_to_green
42,44,Retief Goosen,74,0.541,0.253,0.178,0.11,56,2009,sg_tee_to_green
43,45,Woody Austin,84,0.533,-0.036,0.467,0.102,76,2009,sg_tee_to_green
44,42,Heath Slocum,95,0.523,0.415,0.306,-0.199,85,2009,sg_tee_to_green
45,40,Michael Allen,73,0.515,0.329,0.292,-0.106,58,2009,sg_tee_to_green
46,46,Charley Hoffman,97,0.513,0.405,0.235,-0.128,87,2009,sg_tee_to_green
47,47,Joe Durant,62,0.475,0.465,0.413,-0.404,47,2009,sg_tee_to_green
48,48,Bubba Watson,73,0.469,0.387,0.037,0.044,57,2009,sg_tee_to_green
49,49,Kevin Na,91,0.462,-0.141,0.273,0.33,78,2009,sg_tee_to_green
T50,T50,Tag Ridings,50,0.461,0.429,-0.19,0.222,41,2009,sg_tee_to_green
T50,T50,Matt Kuchar,82,0.461,0.12,0.052,0.289,71,2009,sg_tee_to_green
T52,T53,Charles Warren,63,0.453,0.628,0.183,-0.358,53,2009,sg_tee_to_green
T52,52,Jerry Kelly,90,0.453,0.062,0.165,0.226,77,2009,sg_tee_to_green
54,T53,Y.E. Yang,83,0.448,0.17,0.386,-0.108,70,2009,sg_tee_to_green
55,T55,Bo Van Pelt,100,0.426,0.387,0.082,-0.042,82,2009,sg_tee_to_green
56,T55,Kevin Sutherland,96,0.422,0.233,0.013,0.175,73,2009,sg_tee_to_green
57,66,Bill Haas,91,0.42,0.535,-0.126,0.011,82,2009,sg_tee_to_green
58,59,Paul Goydos,79,0.414,0.107,0.395,-0.089,65,2009,sg_tee_to_green
59,76,Will MacKenzie,69,0.397,0.257,0.088,0.052,61,2009,sg_tee_to_green
60,64,Justin Rose,71,0.395,0.189,0.093,0.113,57,2009,sg_tee_to_green
61,60,Kevin Stadler,65,0.377,0.018,0.213,0.146,54,2009,sg_tee_to_green
62,57,Robert Garrigus,83,0.375,0.418,0.311,-0.354,72,2009,sg_tee_to_green
63,61,Ángel Cabrera,55,0.372,0.372,0.295,-0.296,38,2009,sg_tee_to_green
64,62,Jason Day,61,0.37,0.323,0.031,0.016,50,2009,sg_tee_to_green
65,69,Nicholas Thompson,96,0.366,0.473,0.096,-0.203,87,2009,sg_tee_to_green
66,63,Ben Crane,93,0.344,0.282,-0.038,0.1,80,2009,sg_tee_to_green
67,65,Tim Petrovic,97,0.343,0.12,0.044,0.179,86,2009,sg_tee_to_green
68,88,Stephen Ames,77,0.318,0.214,0.236,-0.132,57,2009,sg_tee_to_green
69,78,Nick O'Hern,90,0.316,-0.205,0.451,0.07,85,2009,sg_tee_to_green
70,68,Mike Weir,85,0.311,-0.276,0.229,0.358,67,2009,sg_tee_to_green
71,58,Brett Quigley,92,0.306,-0.297,0.508,0.095,75,2009,sg_tee_to_green
T72,81,Brian Davis,103,0.295,0.181,0.038,0.076,91,2009,sg_tee_to_green
T72,T92,D.A. Points,99,0.295,0.068,0.211,0.016,86,2009,sg_tee_to_green
74,79,George McNeill,82,0.294,-0.02,0.203,0.112,76,2009,sg_tee_to_green
75,72,Michael Letzig,96,0.287,0.24,-0.169,0.215,86,2009,sg_tee_to_green
76,67,Tommy Armour III,58,0.279,0.353,0.264,-0.338,52,2009,sg_tee_to_green
77,70,John Mallinger,90,0.278,0.097,-0.034,0.216,71,2009,sg_tee_to_green
78,89,J.B. Holmes,74,0.276,0.123,0.291,-0.138,61,2009,sg_tee_to_green
79,T74,Kirk Triplett,60,0.268,0.37,-0.027,-0.075,55,2009,sg_tee_to_green
80,80,Mathew Goggin,76,0.26,0.403,-0.036,-0.107,60,2009,sg_tee_to_green
81,77,Chris DiMarco,97,0.254,-0.264,0.207,0.311,87,2009,sg_tee_to_green
82,87,Ricky Barnes,67,0.248,-0.042,0.327,-0.037,51,2009,sg_tee_to_green
83,T74,Steve Elkington,70,0.24,0.097,0.096,0.047,62,2009,sg_tee_to_green
84,T83,J.J. Henry,97,0.238,0.03,0.125,0.084,84,2009,sg_tee_to_green
85,T83,Matt Weibring,65,0.236,-0.193,0.373,0.056,55,2009,sg_tee_to_green
86,85,Anthony Kim,76,0.235,0.115,0.1,0.019,60,2009,sg_tee_to_green
87,73,Patrick Sheehan,51,0.23,-0.05,0.266,0.014,39,2009,sg_tee_to_green
88,90,Adam Scott,53,0.22,-0.005,-0.045,0.27,42,2009,sg_tee_to_green
89,91,Troy Matteson,95,0.219,0.486,-0.087,-0.181,88,2009,sg_tee_to_green
90,T92,Scott Sterling,51,0.216,-0.14,0.162,0.194,40,2009,sg_tee_to_green
91,94,Bob Estes,78,0.215,-0.128,0.131,0.212,69,2009,sg_tee_to_green
92,95,K.J. Choi,65,0.214,-0.006,-0.002,0.222,50,2009,sg_tee_to_green
93,T96,Marc Leishman,91,0.212,0.163,0.239,-0.19,84,2009,sg_tee_to_green
94,T96,Darron Stiles,52,0.187,0.094,-0.049,0.143,42,2009,sg_tee_to_green
95,98,Steve Flesch,77,0.18,-0.301,0.318,0.162,63,2009,sg_tee_to_green
96,99,Stuart Appleby,79,0.173,-0.222,0.179,0.216,65,2009,sg_tee_to_green
97,100,Mark Wilson,99,0.167,0.147,-0.174,0.194,88,2009,sg_tee_to_green
98,101,Kevin Streelman,97,0.163,0.437,-0.012,-0.261,87,2009,sg_tee_to_green
99,106,Jay Williamson,69,0.158,-0.084,0.195,0.047,57,2009,sg_tee_to_green
100,102,Bill Lunde,83,0.157,0.143,-0.029,0.043,75,2009,sg_tee_to_green
101,103,Chris Riley,77,0.14,-0.342,-0.246,0.728,67,2009,sg_tee_to_green
102,104,Luke Donald,79,0.135,-0.54,0.426,0.249,61,2009,sg_tee_to_green
103,105,Scott Piercy,85,0.127,0.119,0.111,-0.103,76,2009,sg_tee_to_green
104,108,Chris Stroud,88,0.098,-0.133,0.36,-0.128,76,2009,sg_tee_to_green
105,109,Ryan Moore,89,0.097,0.26,0.017,-0.18,75,2009,sg_tee_to_green
106,107,Brandt Snedeker,81,0.063,-0.037,0.03,0.069,65,2009,sg_tee_to_green
107,118,Kris Blanks,60,0.062,0.154,0.284,-0.375,47,2009,sg_tee_to_green
108,110,Ken Duke,87,0.06,-0.077,-0.04,0.177,71,2009,sg_tee_to_green
109,T119,Jeff Maggert,79,0.053,0.447,-0.192,-0.201,73,2009,sg_tee_to_green
110,T119,Tim Herron,87,0.04,0.067,-0.243,0.216,81,2009,sg_tee_to_green
111,114,Lee Janzen,74,0.023,-0.331,0.184,0.17,61,2009,sg_tee_to_green
112,116,Billy Mayfair,83,0.02,0.02,-0.01,0.01,69,2009,sg_tee_to_green
113,111,Cameron Beckman,87,0.018,-0.191,0.283,-0.074,75,2009,sg_tee_to_green
114,124,John Rollins,92,0.012,0.618,-0.449,-0.157,79,2009,sg_tee_to_green
115,123,Jason Gore,74,0,0.326,-0.163,-0.163,62,2009,sg_tee_to_green
116,113,Harrison Frazar,93,-0.012,-0.056,0.089,-0.045,84,2009,sg_tee_to_green
117,122,Brendon de Jonge,90,-0.019,0.134,0.034,-0.187,79,2009,sg_tee_to_green
118,115,Ted Purdy,101,-0.029,0.421,-0.22,-0.231,89,2009,sg_tee_to_green
119,112,Casey Wittenberg,71,-0.03,-0.132,-0.056,0.158,54,2009,sg_tee_to_green
120,117,Cliff Kresge,78,-0.04,-0.108,0.047,0.02,67,2009,sg_tee_to_green
T121,T127,Chez Reavie,81,-0.047,-0.203,-0.109,0.265,70,2009,sg_tee_to_green
T121,126,Jeff Overton,92,-0.047,-0.017,-0.056,0.026,76,2009,sg_tee_to_green
123,T127,Tom Pernice Jr.,82,-0.048,-0.245,0.006,0.192,75,2009,sg_tee_to_green
124,129,Stewart Cink,79,-0.054,0.098,-0.041,-0.11,59,2009,sg_tee_to_green
125,131,Jimmy Walker,74,-0.067,-0.574,0.263,0.244,64,2009,sg_tee_to_green
126,130,Pat Perez,74,-0.09,-0.074,-0.129,0.113,62,2009,sg_tee_to_green
127,133,Brian Gay,96,-0.095,-0.322,-0.032,0.259,82,2009,sg_tee_to_green
128,132,Martin Laird,72,-0.109,0.538,-0.509,-0.138,62,2009,sg_tee_to_green
129,121,Freddie Jacobson,83,-0.122,-0.334,-0.069,0.282,73,2009,sg_tee_to_green
130,137,Jeff Klauk,97,-0.153,-0.016,-0.243,0.105,88,2009,sg_tee_to_green
131,136,James Nitties,86,-0.156,0.262,-0.512,0.095,76,2009,sg_tee_to_green
132,134,Charlie Wi,92,-0.16,-0.167,-0.036,0.044,79,2009,sg_tee_to_green
133,135,Jarrod Lyle,65,-0.168,0.159,-0.601,0.274,50,2009,sg_tee_to_green
134,138,Scott McCarron,91,-0.176,0.259,-0.485,0.05,81,2009,sg_tee_to_green
135,144,Johnson Wagner,81,-0.179,-0.197,0.09,-0.072,74,2009,sg_tee_to_green
136,125,Matt Jones,56,-0.202,-0.234,-0.078,0.11,45,2009,sg_tee_to_green
137,140,Bryce Molder,69,-0.214,-0.321,-0.005,0.112,54,2009,sg_tee_to_green
138,139,Mark Calcavecchia,72,-0.216,-0.095,-0.07,-0.051,62,2009,sg_tee_to_green
139,148,Rich Beem,77,-0.227,0.101,-0.019,-0.309,58,2009,sg_tee_to_green
140,143,Spencer Levin,75,-0.244,-0.493,0.196,0.053,67,2009,sg_tee_to_green
141,141,Andres Romero,58,-0.247,0.37,-0.521,-0.096,43,2009,sg_tee_to_green
142,142,John Merrick,91,-0.248,0.162,-0.082,-0.328,68,2009,sg_tee_to_green
143,147,Greg Chalmers,85,-0.289,-0.221,-0.186,0.118,71,2009,sg_tee_to_green
144,145,Daniel Chopra,89,-0.319,-0.022,-0.345,0.047,83,2009,sg_tee_to_green
145,149,Dean Wilson,81,-0.331,-0.957,0.369,0.257,70,2009,sg_tee_to_green
146,146,Glen Day,79,-0.335,-0.139,-0.263,0.067,64,2009,sg_tee_to_green
147,150,Bart Bryant,58,-0.365,-0.106,-0.033,-0.226,52,2009,sg_tee_to_green
148,151,Vaughn Taylor,88,-0.376,-0.188,-0.004,-0.183,79,2009,sg_tee_to_green
149,155,Webb Simpson,94,-0.38,-0.297,-0.223,0.139,87,2009,sg_tee_to_green
150,158,Jeff Quinney,78,-0.45,-0.563,0.064,0.049,71,2009,sg_tee_to_green
151,159,Joe Ogilvie,85,-0.455,-0.218,-0.287,0.05,77,2009,sg_tee_to_green
152,156,Ryuji Imada,85,-0.457,-0.583,-0.252,0.378,69,2009,sg_tee_to_green
153,152,Peter Tomasulo,61,-0.467,0.249,-0.573,-0.143,46,2009,sg_tee_to_green
154,154,Peter Lonard,86,-0.469,-0.166,-0.269,-0.034,77,2009,sg_tee_to_green
155,157,Nathan Green,104,-0.472,-0.407,-0.153,0.089,92,2009,sg_tee_to_green
156,153,Corey Pavin,73,-0.478,-0.974,0.17,0.326,54,2009,sg_tee_to_green
157,161,Ben Curtis,63,-0.515,0.154,-0.642,-0.028,47,2009,sg_tee_to_green
158,160,Brad Adamonis,70,-0.537,-0.339,-0.379,0.181,61,2009,sg_tee_to_green
159,170,Kent Jones,73,-0.539,0.004,-0.462,-0.08,61,2009,sg_tee_to_green
160,166,Ryan Palmer,78,-0.561,-0.143,-0.15,-0.268,70,2009,sg_tee_to_green
161,162,Matt Bettencourt,98,-0.57,-0.046,-0.267,-0.257,87,2009,sg_tee_to_green
162,164,Bob Heintz,59,-0.581,-0.326,-0.335,0.081,51,2009,sg_tee_to_green
163,167,Steve Lowery,83,-0.601,0.185,-0.314,-0.473,77,2009,sg_tee_to_green
164,168,Todd Hamilton,83,-0.612,0.055,-0.512,-0.155,64,2009,sg_tee_to_green
165,169,David Mathis,82,-0.666,-0.266,-0.286,-0.114,69,2009,sg_tee_to_green
166,165,Aron Price,89,-0.676,-0.456,-0.056,-0.165,77,2009,sg_tee_to_green
167,176,Rick Price,54,-0.711,-0.154,-0.168,-0.39,41,2009,sg_tee_to_green
168,171,Richard Johnson,85,-0.737,-0.503,-0.08,-0.154,74,2009,sg_tee_to_green
169,173,Gary Woodland,53,-0.744,-0.203,-0.021,-0.52,37,2009,sg_tee_to_green
170,172,Brian Vranesh,51,-0.752,0.06,-0.63,-0.182,43,2009,sg_tee_to_green
171,174,Aaron Baddeley,66,-0.755,-0.459,-0.507,0.212,58,2009,sg_tee_to_green
172,175,Mark Brooks,55,-0.771,-0.49,-0.277,-0.004,40,2009,sg_tee_to_green
173,177,Colt Knost,71,-0.877,-0.012,-0.562,-0.304,56,2009,sg_tee_to_green
174,178,Carl Pettersson,86,-0.893,-0.326,-0.423,-0.143,74,2009,sg_tee_to_green
175,179,Greg Kraft,51,-1.038,-0.581,0.016,-0.474,41,2009,sg_tee_to_green
176,180,Derek Fathauer,63,-1.085,-0.35,-0.568,-0.167,51,2009,sg_tee_to_green
177,181,Marc Turnesa,77,-1.203,-0.237,-0.616,-0.35,71,2009,sg_tee_to_green
178,182,Brian Bateman,55,-1.352,-0.64,-0.486,-0.226,48,2009,sg_tee_to_green
179,183,Leif Olson,51,-1.376,-0.599,-0.399,-0.378,43,2009,sg_tee_to_green
180,184,Brendon Todd,53,-1.447,-0.792,-0.71,0.055,47,2009,sg_tee_to_green
181,185,David Duval,56,-1.602,-1.33,-0.266,-0.006,44,2009,sg_tee_to_green
182,186,Parker McLachlin,71,-1.76,-1.036,-0.976,0.252,67,2009,sg_tee_to_green
183,187,Eric Axley,71,-2.498,-1.441,-0.804,-0.253,59,2009,sg_tee_to_green
184,188,Brad Faxon,59,-2.705,-1.03,-1.428,-0.246,52,2009,sg_tee_to_green
