RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,2,Xander Schauffele,12,2.907,1.157,0.973,0.776,4,2004,sg_tee_to_green
2,1,Tony Finau,18,2.426,0.71,0.998,0.719,6,2004,sg_tee_to_green
3,3,Davis Love III,6,2.307,0.575,2.789,-1.057,1,2004,sg_tee_to_green
4,4,Justin Thomas,18,2.126,0.62,1.131,0.376,10,2004,sg_tee_to_green
5,5,Hideki Matsuyama,22,1.826,0.528,0.663,0.634,10,2004,sg_tee_to_green
6,6,Boo Weekley,14,1.788,0.655,1.294,-0.161,9,2004,sg_tee_to_green
7,7,Patrick Cantlay,12,1.784,0.372,1.093,0.318,12,2004,sg_tee_to_green
8,11,Alex Noren,16,1.729,0.234,0.809,0.686,9,2004,sg_tee_to_green
9,8,Webb Simpson,12,1.685,0.089,1.239,0.356,11,2004,sg_tee_to_green
10,9,Emiliano Grillo,24,1.578,0.589,0.827,0.162,12,2004,sg_tee_to_green
11,10,Joel Dahmen,28,1.539,0.514,0.512,0.512,15,2004,sg_tee_to_green
12,13,Marc Leishman,17,1.392,0.267,1.213,-0.087,9,2004,sg_tee_to_green
13,14,Collin Morikawa,24,1.358,0.319,0.913,0.125,16,2004,sg_tee_to_green
14,17,Adam Hadwin,20,1.342,0.407,0.923,0.012,11,2004,sg_tee_to_green
15,15,Cameron Tringale,28,1.282,0.4,0.568,0.314,21,2004,sg_tee_to_green
16,12,Harris English,26,1.254,0.822,0.552,-0.119,19,2004,sg_tee_to_green
17,19,Brandon Wu,8,1.249,1.187,0.758,-0.695,4,2004,sg_tee_to_green
18,20,Joaquin Niemann,28,1.219,0.6,0.588,0.031,18,2004,sg_tee_to_green
19,51,Abraham Ancer,28,1.179,-0.034,0.729,0.484,10,2004,sg_tee_to_green
20,21,Viktor Hovland,14,1.162,0.666,1.11,-0.614,4,2004,sg_tee_to_green
21,18,Cameron Champ,26,1.148,1.216,0.091,-0.159,20,2004,sg_tee_to_green
22,25,Xinjun Zhang,33,1.141,0.099,0.594,0.448,22,2004,sg_tee_to_green
23,26,Scottie Scheffler,32,1.134,0.716,0.444,-0.025,21,2004,sg_tee_to_green
24,24,Chesson Hadley,24,1.122,0.094,0.926,0.103,17,2004,sg_tee_to_green
25,16,Ryan Armour,27,1.081,0.1,0.705,0.276,16,2004,sg_tee_to_green
26,23,Scott Harrington,33,1.07,0.648,0.263,0.16,22,2004,sg_tee_to_green
27,,Rickie Fowler,8,1.067,0.744,0.015,0.307,6,2004,sg_tee_to_green
28,31,Harold Varner III,27,1.065,0.768,-0.27,0.567,13,2004,sg_tee_to_green
29,28,Bryson DeChambeau,10,1.033,0.387,0.268,0.377,10,2004,sg_tee_to_green
30,29,Jim Furyk,12,1.032,-0.092,0.934,0.19,11,2004,sg_tee_to_green
31,30,Corey Conners,26,1.008,0.652,0.604,-0.248,14,2004,sg_tee_to_green
32,22,Carlos Ortiz,30,0.996,0.206,0.328,0.462,24,2004,sg_tee_to_green
33,32,Ryan Palmer,20,0.949,0.748,0.223,-0.022,12,2004,sg_tee_to_green
34,33,Doc Redman,34,0.931,0.694,0.563,-0.326,25,2004,sg_tee_to_green
35,34,D.J. Trahan,26,0.921,0.477,0.302,0.142,19,2004,sg_tee_to_green
36,36,Paul Casey,16,0.919,0.597,0.694,-0.372,6,2004,sg_tee_to_green
37,47,Ryan Moore,18,0.9,0.31,0.931,-0.341,8,2004,sg_tee_to_green
38,41,Sebastián Muñoz,34,0.899,0.453,0.243,0.203,29,2004,sg_tee_to_green
39,50,Tom Hoge,24,0.89,0.127,0.794,-0.032,19,2004,sg_tee_to_green
40,37,Lanto Griffin,38,0.888,0.339,0.275,0.274,29,2004,sg_tee_to_green
41,44,Brian Harman,30,0.855,0.303,0.576,-0.024,23,2004,sg_tee_to_green
42,27,Brian Stuard,38,0.854,-0.066,0.576,0.345,23,2004,sg_tee_to_green
43,59,Jason Dufner,18,0.815,0.562,0.422,-0.169,15,2004,sg_tee_to_green
44,63,Sepp Straka,26,0.782,0.563,0.303,-0.084,19,2004,sg_tee_to_green
45,40,Gary Woodland,16,0.763,0.567,0.118,0.077,8,2004,sg_tee_to_green
46,42,Keegan Bradley,24,0.74,0.01,0.127,0.603,14,2004,sg_tee_to_green
47,45,Sam Ryder,32,0.735,0.08,0.409,0.247,23,2004,sg_tee_to_green
48,39,Kyle Stanley,23,0.71,-0.279,0.959,0.03,18,2004,sg_tee_to_green
49,T64,Tyler McCumber,29,0.683,0.527,0.081,0.075,21,2004,sg_tee_to_green
50,35,Kevin Kisner,25,0.652,-0.096,0.373,0.375,10,2004,sg_tee_to_green
51,52,Luke List,27,0.65,0.29,0.336,0.024,18,2004,sg_tee_to_green
52,49,Adam Long,37,0.636,0.179,0.353,0.105,22,2004,sg_tee_to_green
53,48,Sungjae Im,32,0.627,0.519,0.644,-0.536,18,2004,sg_tee_to_green
54,53,Pat Perez,22,0.609,0.196,0.557,-0.144,10,2004,sg_tee_to_green
55,54,Dylan Frittelli,32,0.593,0.059,0.51,0.024,19,2004,sg_tee_to_green
T56,72,Rob Oppenheim,33,0.578,-0.335,0.209,0.704,24,2004,sg_tee_to_green
T56,60,Nick Watney,22,0.578,-0.044,0.369,0.253,17,2004,sg_tee_to_green
58,69,Russell Knox,30,0.571,-0.277,0.787,0.061,19,2004,sg_tee_to_green
59,76,Martin Laird,23,0.566,0.279,0.483,-0.196,18,2004,sg_tee_to_green
60,85,Daniel Berger,22,0.564,0.456,-0.056,0.165,16,2004,sg_tee_to_green
61,57,Graeme McDowell,17,0.552,-0.834,0.972,0.414,8,2004,sg_tee_to_green
62,71,Bud Cauley,20,0.537,-0.085,0.383,0.24,18,2004,sg_tee_to_green
63,80,Bronson Burgoon,28,0.521,-0.227,0.547,0.201,21,2004,sg_tee_to_green
64,62,Sung Kang,24,0.506,0.752,-0.043,-0.202,16,2004,sg_tee_to_green
T65,T64,Andrew Novak,6,0.502,0.194,0.248,0.06,6,2004,sg_tee_to_green
T65,T64,Roberto Castro,16,0.502,0.151,0.105,0.247,13,2004,sg_tee_to_green
67,68,Patrick Reed,14,0.489,0.26,-0.189,0.418,6,2004,sg_tee_to_green
