RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,1,Bubba Watson,97,315.1,"59,870",190,2008,avg_driv_dist
2,2,Robert Garrigus,90,311,"55,988",180,2008,avg_driv_dist
3,3,J.B. Holmes,86,310.3,"52,749",170,2008,avg_driv_dist
4,4,Dustin Johnson,92,309.7,"56,978",184,2008,avg_driv_dist
5,5,Steve Allan,58,303.2,"30,316",100,2008,avg_driv_dist
6,7,Tag Ridings,88,303,"53,320",176,2008,avg_driv_dist
7,6,Nick Watney,96,302.9,"58,150",192,2008,avg_driv_dist
8,8,Adam Scott,51,302.1,"29,607",98,2008,avg_driv_dist
9,9,Davis Love III,78,301.3,"47,005",156,2008,avg_driv_dist
10,10,Charles Warren,79,301.1,"47,573",158,2008,avg_driv_dist
11,11,Anthony Kim,81,300.9,"48,741",162,2008,avg_driv_dist
12,12,Charley Hoffman,94,300.8,"55,346",184,2008,avg_driv_dist
13,15,Ángel Cabrera,55,300.2,"30,620",102,2008,avg_driv_dist
14,13,Harrison Frazar,73,299.9,"38,986",130,2008,avg_driv_dist
15,14,Jason Gore,94,299.7,"56,344",188,2008,avg_driv_dist
T16,16,Fred Couples,60,299.6,"35,952",120,2008,avg_driv_dist
T16,17,Travis Perkins,53,299.6,"28,164",94,2008,avg_driv_dist
18,19,Paul Casey,55,299.2,"31,119",104,2008,avg_driv_dist
19,20,Andres Romero,69,299.1,"40,076",134,2008,avg_driv_dist
20,21,John Merrick,98,299,"53,824",180,2008,avg_driv_dist
21,22,Brandt Jobe,52,298.8,"31,077",104,2008,avg_driv_dist
22,23,Jason Allred,63,298.6,"34,041",114,2008,avg_driv_dist
23,24,Lucas Glover,91,298.4,"54,317",182,2008,avg_driv_dist
24,18,Tommy Gainey,60,298.3,"31,027",104,2008,avg_driv_dist
25,25,Vijay Singh,82,297.8,"46,464",156,2008,avg_driv_dist
26,27,Jeff Overton,103,297.6,"58,915",198,2008,avg_driv_dist
27,26,Jason Day,81,297.4,"48,186",162,2008,avg_driv_dist
28,29,Stewart Cink,87,296.9,"48,103",162,2008,avg_driv_dist
T29,28,Richard Johnson,77,296.7,"44,508",150,2008,avg_driv_dist
T29,30,Bill Haas,99,296.7,"56,377",190,2008,avg_driv_dist
31,31,Martin Laird,98,296.6,"54,572",184,2008,avg_driv_dist
32,32,Padraig Harrington,52,296.3,"29,625",100,2008,avg_driv_dist
33,33,Kenny Perry,97,296,"57,427",194,2008,avg_driv_dist
34,34,Mathew Goggin,91,295.9,"53,852",182,2008,avg_driv_dist
35,T35,Phil Mickelson,80,295.7,"46,128",156,2008,avg_driv_dist
T36,T35,Nicholas Thompson,113,295.4,"63,222",214,2008,avg_driv_dist
T36,T35,Jimmy Walker,73,295.4,"38,397",130,2008,avg_driv_dist
T38,T40,Troy Matteson,94,295.2,"55,502",188,2008,avg_driv_dist
T38,39,Mathias Grönberg,87,295.2,"49,010",166,2008,avg_driv_dist
T40,T42,James Driscoll,85,295,"46,613",158,2008,avg_driv_dist
T40,T40,George McNeill,97,295,"57,227",194,2008,avg_driv_dist
42,T35,Brenden Pappas,66,294.9,"35,392",120,2008,avg_driv_dist
43,44,Sergio Garcia,72,294.6,"41,247",140,2008,avg_driv_dist
T44,T45,Daniel Chopra,84,294.2,"48,837",166,2008,avg_driv_dist
T44,T42,Ryan Palmer,69,294.2,"37,069",126,2008,avg_driv_dist
T44,T45,Pat Perez,93,294.2,"54,139",184,2008,avg_driv_dist
47,48,Matt Jones,95,293.9,"53,485",182,2008,avg_driv_dist
48,T45,Charles Howell III,101,293.6,"58,142",198,2008,avg_driv_dist
49,T50,Steve Marino,119,293.5,"67,508",230,2008,avg_driv_dist
50,53,Camilo Villegas,79,293.3,"45,747",156,2008,avg_driv_dist
51,T50,Jon Mills,95,293.2,"51,025",174,2008,avg_driv_dist
52,55,Tim Herron,97,293,"54,490",186,2008,avg_driv_dist
53,49,Todd Demsey,80,292.9,"45,686",156,2008,avg_driv_dist
T54,52,Ted Purdy,68,292.8,"36,307",124,2008,avg_driv_dist
T54,54,Kevin Streelman,114,292.8,"63,254",216,2008,avg_driv_dist
56,56,Ryan Moore,72,292.7,"42,154",144,2008,avg_driv_dist
57,T60,Geoff Ogilvy,65,292.1,"37,386",128,2008,avg_driv_dist
T58,T62,Rory Sabbatini,77,292,"44,379",152,2008,avg_driv_dist
T58,58,Bo Van Pelt,101,292,"56,649",194,2008,avg_driv_dist
60,59,Nick Flanagan,89,291.8,"49,605",170,2008,avg_driv_dist
T61,T60,Boo Weekley,86,291.7,"48,425",166,2008,avg_driv_dist
T61,T62,J.J. Henry,108,291.7,"63,014",216,2008,avg_driv_dist
T61,T66,Robert Allenby,108,291.7,"62,418",214,2008,avg_driv_dist
64,T66,Ernie Els,51,291.6,"29,159",100,2008,avg_driv_dist
