RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,1,Corey Pavin,69,0.973,54.489,56,2008,sg_putting
2,2,Bob Tway,70,0.822,46.854,57,2008,sg_putting
3,3,Marc Turnesa,87,0.789,59.961,76,2008,sg_putting
4,4,Daniel Chopra,84,0.786,54.267,69,2008,sg_putting
5,5,Aaron Baddeley,76,0.762,45.745,60,2008,sg_putting
6,6,Ben Crane,86,0.745,55.864,75,2008,sg_putting
7,7,Jeff Quinney,87,0.654,47.774,73,2008,sg_putting
8,8,Dudley Hart,74,0.652,43.662,67,2008,sg_putting
9,9,Chad Collins,72,0.648,40.826,63,2008,sg_putting
10,10,Eric Axley,113,0.605,59.313,98,2008,sg_putting
11,11,Dean Wilson,109,0.579,53.854,93,2008,sg_putting
12,12,Jesper Parnevik,88,0.561,42.075,75,2008,sg_putting
13,13,Nathan Green,95,0.539,49.003,91,2008,sg_putting
14,14,Carl Pettersson,110,0.534,51.798,97,2008,sg_putting
15,15,Stewart Cink,87,0.521,33.347,64,2008,sg_putting
16,16,Ian Poulter,51,0.518,18.653,36,2008,sg_putting
17,17,Brian Gay,102,0.511,43.933,86,2008,sg_putting
18,18,Greg Kraft,63,0.501,25.047,50,2008,sg_putting
19,19,Richard Johnson,77,0.5,33.999,68,2008,sg_putting
20,20,K.J. Choi,74,0.491,27.966,57,2008,sg_putting
21,21,Ryuji Imada,80,0.469,31.898,68,2008,sg_putting
22,22,Ken Duke,116,0.467,49.063,105,2008,sg_putting
23,23,Justin Leonard,101,0.463,33.771,73,2008,sg_putting
T24,T24,Freddie Jacobson,78,0.455,29.124,64,2008,sg_putting
T24,T24,Mark Wilson,107,0.455,47.277,104,2008,sg_putting
26,26,Joe Ogilvie,100,0.446,38.835,87,2008,sg_putting
27,27,Parker McLachlin,88,0.445,35.147,79,2008,sg_putting
28,28,Ryan Palmer,69,0.43,25.777,60,2008,sg_putting
29,29,Stuart Appleby,87,0.427,28.583,67,2008,sg_putting
30,30,Steve Elkington,84,0.415,30.312,73,2008,sg_putting
31,31,Steve Stricker,75,0.411,23.823,58,2008,sg_putting
T32,T32,Tim Herron,97,0.407,35.447,87,2008,sg_putting
T32,T32,Craig Kanada,65,0.407,22.408,55,2008,sg_putting
T32,T32,Doug LaBelle II,65,0.407,20.739,51,2008,sg_putting
35,35,Jim Furyk,95,0.405,30.405,75,2008,sg_putting
36,36,Patrick Sheehan,124,0.395,41.437,105,2008,sg_putting
37,37,Richard Johnson,60,0.383,18.787,49,2008,sg_putting
38,38,Anthony Kim,81,0.362,23.552,65,2008,sg_putting
